STRING,STRING,STRING,STRING,STRING
BACK_GROUP_RAMMBOCK_WINDOW,rammbock_window_back,tWindow,TopAnchor,群魔乱舞返回窗口
RAMMBOCK_CHOICE_WINDOW,rammbock_choice_window,RammbockChoiceWindow,rammbock_window,群魔乱舞关卡选择窗口
RAMMBOCK_OVER_WINDOW,rammbock_over_window,RammbockOverWindow,rammbock_window,群魔乱舞关卡结束窗口
RAMMBOCK_SELECT_DIFFICULTY_WINDOW,rammbock_difficulty_window,RammbockSelectDifficultyWindow,,群魔乱舞关卡难度选择窗口
RAMMBOCK_AWARD_WINDOW,rammbock_reward_window,RammbockAwardWindow,,群魔乱舞奖励预览
RAMMBOCK_ATTRI_ADD_WINDOW,addition_attribute_window,RammbockAttriAddWindow,,群魔乱舞属性加成
RAMMBOCK_TREASURE_WINDOW,rammbock_treasure_window,RammbockTreasureWindow,,群魔乱舞奖品购买界面
RAMMBOCK_BATTLE_RESULT_WIN_WINDOW,rammbock_result_window,RammbockBattleResultWinWindow,,群魔乱舞战斗结束赢界面
RAMMBOCK_BATTLE_RESULT_LOSE_WINDOW,rammbock_result_window,RammbockBattleResultLoseWindow,,群魔乱舞战斗结束输界面
RAMMBOCK_CHAPTER_AWARD_WINDOW,reward_window,RammbockChapterAwardWindow,,群魔乱舞关卡结束奖励界面
ROLE_TMP_PVP_ENTER_GROUP,role_tmp_pvp_enter_window,RoleTmpEnterGroupWindow,BottomRightAnchor,斗法里二级界面临时入口
,,,,
TEAM_RELATE_INFO_WINDOW,team_relate_info_window,TeamRelateInfoWindow,,缘分信息
TEAM_RELATE_EFFECT_WINDOW,team_relate_effect_window,TeamRelateEffectWindow,,缘分效果
,,,,
BACK_GROUP_ASTROLOGY_WINDOW,astrology_window_back,tWindow,TopAnchor,点星返回窗口
ASTROLOGY_WINDOW,astrology_window,AstrologyWindow,,点星总窗口
ASTROLOGY_INFO_WINDOW,astrology_info_window,AstrologyInfoWindow,astrology_window,点星界面
ASTROLOGY_REWARD_WINDOW,astrology_reward_window,AstrologyRewardWindow,,点星奖励界面
ASTROLOGY_UI_WINDOW,astrology_ui_window,AstrologyUIWindow,,点星功能
,,,,
SHOP_RENOWN_WINDOW,shop_renown_window,RammbockShopWindow,,威名商店
PEAK_PVP_WINDOW,peak_pvp_window,PeakPvpWindow,,竞技场窗口
PEAK_WINDOW_BACK,peak_window_back,tWindow,TopAnchor,竞技场返回
PEAK_RESULT_WINDOW,peak_result_window,PeakResultWindow,,竞技场结算
PEAK_TREASURE_WINDOW,peak_treasure_window,PeakTreasureWindow,,竞技场抽奖
PEAK_BREAK_WINDOW,peak_break_window,PeakBreakWindow,,竞技场排名突破
PVP_PRESTIGE_SHOP_WINDOW,shop_prestige_window,PVPPrestigeShopWindow,,竞技场商店
,,,,
ARENA_MAIN_WINDOW,arena_main_window,ArenaMainWindow,,竞技场窗口
ARENA_RANK_WINDOW,arena_rank_window,ArenaRankWindow,,竞技场排行窗口
ARENA_BREAK_WINDOW,arena_break_window,ArenaBreakWindow,,竞技场排名变化窗口
ARENA_RESULT_WINDOW,arena_result_window,ArenaResultWindow,,竞技场战斗结果窗口
ARENA_TREASURE_WINDOW,arena_treasure_window,ArenaTreasureWindow,,竞技场三选一窗口
ARENA_RECORD_WINDOW,arena_record_window,ArenaRecordWindow,,竞技场记录窗口
ARENA_LIST_WINDOW,arena_list_window,ArenaListWindow,,竞技场战5次窗口
ARENA_WINDOW_BACK,arena_window_back,tWindow,TopAnchor,竞技场返回
,,,,
GRABTREASURE_WINDOW,grab_window,GrabTreasureWindow,,夺宝主界面
GRABTREASURE_BACK_WINDOW,grab_window_back,tWindow,TopAnchor,夺宝返回界面
GRABTREASURE_FIGHT_WINDOW,grab_fight_window,GrabTreasureFightWindow,,夺宝之战玩家界面
GRABTREASURE_BATTLE_RESULT_WIN_WINDOW,grab_result_window,GrabTreasureBattleResultWinWindow,,夺宝结算胜利界面
GRABTREASURE_BATTLE_RESULT_LOSE_WINDOW,grab_result_window,GrabTreasureBattleResultLoseWindow,,夺宝结算失败界面
GRABTREASURE_BATTLE_WIN_AWARD_WINDOW,grab_treasure_window,GrabTreasureBattleWinAwardWindow,,夺宝结算奖励界面
GRABTREASURE_FIVE_BATTLE_RESULT_WINDOW,grab_list_window,GrabTreasureFiveBattleResultWindow,,夺宝5次结算界面
GRABTREASURE_RECORD_WINDOW,grab_record_window,GrabTreasureRecordWindow,,夺宝历史界面
GRABTREASURE_SELECT_PEACE_WINDOW,grab_use_peace_window,GrabTreasureSelectPeaceWindow,,夺宝选择免战牌界面
GRABTREASURE_USE_PEACE_WINDOW,grab_buy_peace_window,GrabTreasureUsePeaceWindow,,夺宝用免战牌界面
GRABTREASURE_COMPOSE_RESULT_WINDOW,grab_compose_result,GrabTreasureComposeResultWindow,,夺宝合成结果界面
GRABTREASURE_COMPOSE_ITEM_INFO_WINDOW,grab_compose_item_info,GrabTreasureComposeItemInfoWindow,,夺宝合成元素界面
GRABTREASURE_BATTLE_LOADING_WINDOW,grab_battle_loading_window,GrabBattleLoadingWindow,,夺宝战斗开始loading界面
GRABTREASURE_MAGIC_EQUIP_DETAIL_WINDOW,magic_details_window,GrabTreasureMagicEquipDetailUI,,夺宝法器详情界面
,,,,
FEATS_SHOP_WINDOW,shop_feats_window,FeatsShopWindow,,战功商店
,,,,
FAIRYLAND_WINDOW,explore_window,FairylandWindow,,符灵探险界面
FAIRYLAND_BACK_WINDOW,explore_window_back,tWindow,TopAnchor,符灵探险返回界面
FAIRYLAND_OP_WINDOW,explore_bg_window,FairylandOPWindow,explore_window,符灵探险操作主界面
FAIRYLAND_LEFT_INFO_WINDOW,explore_left_window,FairylandLeftInfoWindow,fairyland_explore_root,符灵探险左侧信息界面
FAIRYLAND_LEFT_PET_SEL_WINDOW,explore_left_window,FairylandLeftPetSelWindow,fairyland_explore_root,符灵探险左侧符灵选择界面
FAIRYLAND_LEFT_RECORD_WINDOW,explore_left_window,FairylandLeftRecordWindow,fairyland_explore_root,符灵探险左侧记录界面
FAIRYLAND_RIGHT_READY_WINDOW,explore_right_window,FairylandRightReadyWindow,fairyland_explore_root,符灵探险右侧战斗准备界面
FAIRYLAND_RIGHT_AWARD_WINDOW,explore_right_window,FairylandRightAwardWindow,fairyland_explore_root,符灵探险右侧奖励预览界面
FAIRYLAND_RIGHT_SEARCH_READY_WINDOW,explore_right_window,FairylandRightSearchReadyWindow,fairyland_explore_root,符灵探险右侧寻仙准备界面
FAIRYLAND_RIGHT_SEARCH_RECORD_WINDOW,explore_right_window,FairylandRightSearchRecordWindow,fairyland_explore_root,符灵探险右侧寻仙记录界面
FAIRYLAND_SEARCH_CONFIRM_WINDOW,explore_tip_window,FairylandSearchConfirmWindow,,符灵探险寻仙确认界面
FAIRYLAND_SEARCH_WAY_WINDOW,explore_way_window,FairylandSearchWayWindow,,符灵探险寻仙方式确认界面
FAIRYLAND_FRIEND_SEL_WINDOW,explore_friend_window,FairylandFriendSelWindow,,符灵探险好友仙境选择界面
FAIRYLAND_CONQUER_RESULT_WIN_WINDOW,explore_result_win_window,FairylandConquerResultWinWindow,,符灵探险征服仙境胜利结算界面
FAIRYLAND_CONQUER_RESULT_LOSE_WINDOW,explore_result_lose_window,FairylandConquerResultLoseWindow,,符灵探险征服仙境胜利失败界面
,,,,
UNION_LIST_WINDOW,union_list_window,UnionListWindow,,工会列表
UNION_CREATE_WINDOW,union_create_window,UnionCreateWindow,,工会创建
UNION_MAIN_WINDOW,union_main_window,UnionMainWindow,,工会主界面
UNION_WORSHIP_WINDOW,union_worship_window,UnionWorshipWindow,,工会动态
UNION_INFONEWS_WINDOW,union_infonews_window,UnionInfoNewsWindow,,工会审核
UNION_CHECK_WINDOW,union_check_window,UnionCheckWindow,,动态消息盒
DYNAMIC_MSGBOX_4,Dynamic_MsgBox_4,DynamicMsgBox4,,
UNION_PK_ENTER_WINDOW,union_pk_enter_window,UnionPkEnterWindow,,工会战入口
UNION_SET_PK_AIM_WINDOW,union_set_pk_aim_window,UnionSetPkAimWindow,,设定挑战boss
UNION_PK_PREPARE_WINDOW,union_pk_prepare_window,UnionPkPrepareWindow,,工会战准备界面
UNION_PK_DROP_PREVIEW_WINDOW,union_pk_drop_preview_window,UnionPkDropPreviewWindow,,工会战掉落预览
UNION_PK_RANK_WINDOW,union_pk_rank_window,UnionPkRankWindow,,工会战排名
UNION_PK_BACK_WINDOW,union_pk_back_window,tWindow,TopAnchor,
UNION_PK_WIN_WINDOW,union_pk_win_window,UnionPkWinWindow,,公会boss战结算界面
,,,,
ACTIVITY_SIGN_WINDOW,activity_sign_window,ActivitySignWindow,activity_transform_root,每日签到
ACTIVITY_TREE_WINDOW,activity_tree_window,ActivityTreeWindow,activity_window,摇钱树
ACTIVITY_TREE_UP_WINDOW,activity_tree_up_window,ActivityTreeUpWindow,activity_tree_window,摇钱树奖励池
ACTIVITY_VITALITY_WINDOW,activity_vitality_window,ActivityVitalityWindow,activity_window,摇钱树奖励池
ACTIVE_DAILY_REWARD_FOR_MONTH_WINDOW,activity_month_card_window,ActivityMonthCardWindow,activity_window,月卡
ACTIVITY_WELFARE_WINDOW,activity_welfare_window,ActivityWelfareWindow,activity_window,VIP礼包
ACTIVITY_GIFT_WINDOW,activity_gift_window,ActivityGiftWindow,activity_window,礼品码
ACTIVITY_SHOOTER_PARK_WINDOW,activity_shooter_park_window,ActivityShooterParkWindow,activity_window,射手乐园
ACTIVITY_LUCKY_CARD_WINDOW,activity_lucky_card_window,ActivityLuckyCardWindow,activity_window,幸运抽牌
ACTIVITY_TIPS_LABEL_UP_WINDOW,activity_tips_label_up_window,ActivityTipsLabelUpWindow,activity_window,弹窗获得奖励的时候的弹窗
ACTIVITY_RECHARGE_GIFT_WINDOW,activity_recharge_gift_window,ActivityRechargeGiftWindow,activity_window,充值送礼窗口
ACTIVITY_FUND_WINDOW,activity_fund_window,ActivityFundWindow,activity_transform_root,开服基金
ACTIVITY_CUMULATIVE_WINDOW,activity_cumulative_window,ActivityCumulativeWindow,activity_window,累计消费窗口
ACTIVITY_SEVEN_DAY_LOGIN_WINDOW,activity_seven_day_login_window,ActivitySevenDayLoginWindow,activity_window,七日登陆
ACTIVITY_FIRST_RECHARGE_WINDOW,activity_first_window,ActivityFirstRechargeWindow,activity_transform_root,首充礼包
ACTIVITY_FLASH_SALE_WINDOW,activity_flash_sale_window,ActivityFlashSaleWindow,activity_window,限时抢购
ACTIVITY_SINGLE_WELFARE_WINDOW,activity_single_welfare_window,ActivitySingleWelfareWindow,activity_window,单充福利
FLASH_SALE_WINDOW,flash_sale_window,FlashSaleWindow,,限时抢购
FLASH_SALE_DETAILS_WINDOW,flash_sale_details_window,FlashSaleDetailsWindow,,限时抢购
,,,,
PET_FRAGMENT_INFO_WINDOW,fragment_info_window,PetFragmentInfoWindow,,宠物碎片信息窗口
EQUIP_FRAGMENT_INFO_WINDOW,fragment_info_window,EquipFragmentInfoWindow,,装备碎片信息窗口
MAGIC_FRAGMENT_INFO_WINDOW,fragment_info_window,MagicFragmentInfoWindow,,法器碎片信息窗口
,,,,
UNION_SHOP_CLOTH_WINDOW,union_shop_cloth_window,UnionShopClothWindow,,工会商店时装
UNION_SHOP_PROP_WINDOW,union_shop_prop_window,UnionShopPropWindow,,工会商店道具
UNION_SHOP_AWARD_WINDOW,union_shop_award_window,UnionShopAwardWindow,,工会商店奖励
UNION_SHOP_LIMIT_WINDOW,union_shop_limit_window,UnionShopLimitWindow,,工会商店限时
UNION_SHOP_CONTAINER_WINDOW,union_shop_container_window,UnionShopContainerWindow,,工会商店主窗口
,,,,
PACKAGE_EQUIP_WINDOW,package_equip_window,PackageEquipWindow,,装备包裹窗口
PACKAGE_CONSUME_WINDOW,package_consume_window,PackageConsumeWindow,,消费品包裹窗口
TRIAL_WINDOW,trial_window,TrialWindow,,历练入口
TRIAL_WINDOW_BACK,trial_window_back,tWindow,TopAnchor,历练入口返回
TRIAL_EASY_JUMP_WINDOW,trial_easy_jump_window,TrialEasyJumpWindow,TopRightAnchor,历练快捷入口窗口
SHOP_FEATS_WINDOW_BACK,shop_feats_window_back,tWindow,TopAnchor,魔鳞商店返回
,,,,
RANKLIST_BOSSBATTLE_WINDOW,boss_rank_window,RanklistBossBattleWindow,boss_list_window,天魔排行主窗口
RANKLIST_BOSSBATTLE_DAMAGE_WINDOW,boss_rank_hurt_window,RanklistBossBattleDamageWindow,tween_boss_rank_root,天魔伤害排行
RANKLIST_BOSSBATTLE_FEATS_WINDOW,boss_rank_feats_window,RanklistBossBattleFeatsWindow,tween_boss_rank_root,天魔功勋排行
RANKLIST_BOSSBATTLE_AWARD_WINDOW,boss_rank_reward_window,RanklistBossBattleAwardWindow,tween_boss_rank_root,天魔奖励窗口
RANKLIST_RAMMBOCK_WINDOW,rammbock_rank_window,RanklistRammbockWindow,rammbock_window,群魔排行窗口
RANKLIST_PVP_WINDOW,peak_rank_window,RanklistPVPWindow,peak_pvp_window,竞技场排行窗口
RANKLIST_GUILD_WINDOW,union_rank_window,RanklistGuildWindow,union_main_window,宗门排行窗口
RANKLIST_MAIN_UI_WINDOW,main_rank_window,RanklistMainUIWindow,,主界面排行
RANKLIST_MAIN_UI_BACK_WINDOW,main_rank_window_back,tWindow,TopAnchor,主界面排行返回按钮
RANKLIST_MAIN_UI_POWER_WINDOW,,RanklistMainUIPowerWindow,,主界面战力排行
RANKLIST_MAIN_UI_LEVEL_WINDOW,,RanklistMainUILevelWindow,,主界面等级排行
RANKLIST_ACTIVITY_UI_WINDOW,activity_rank_window,RanklistActivityUIWindow,,活动界面排行
RANKLIST_ACTIVITY_BACK_WINDOW,activity_rank_window_info_back_window,tWindow,TopAnchor,活动界面排行返回按钮
RANKLIST_ACTIVITY_REWARD_UI_WINDOW,activity_rank_reward_window,RanklistActivityRewardUIWindow,,排名活动奖励
,,,,
TASK_WINDOW,task_window,TaskWindow,,任务成就窗口
TASK_BACK_WINDOW,task_back_window,tWindow,TopAnchor,任务返回窗口
AWARD_WINDOW,award_window,AwardWindow,,奖励领取窗口
GET_SCORE_AWARD_WINDOW,get_score_award_window,GetScoreAwardWindow,,积分奖励窗口
SELECT_ITEM_WINDOW,select_item_window,SelectItemWindow,,宝箱多选一窗口
,,,,
RECHARGE_CONTAINER_WINDOW,recharge_vip_window,RechargeContainerWindow,,VIP特权、充值父窗口
RECHARGE_CONTAINER_BACK_WINDOW,recharge_vip_window_back,tWindow,TopAnchor,VIP特权、充值父窗口返回按钮
VIP_WINDOW,vip_extreme_window,VIPWindowNew,recharge_transform_root,VIP窗口
RECHARGE_WINDOW,recharge_window,RechargeWindow,recharge_transform_root,充值窗口
VIP_EXCLUSIVE_WINDOW,vip_exclusive_window,VipExclusiveWindow,,VIP专属客服窗口
,,,,
MASTER_CONTAINER,team_master_window,StrongMasterContainer,,强化大师主窗口
STRENGTHEN_EQUIP,master_window,StrengthenEquip,,强化装备
REFINE_EQUIP,master_window,RefineEquip,,精炼装备
STRENGTHEN_MAGIC,master_window,StrengthenMagic,,强化法器
REFINE_MAGIC,master_window,RefineMagic,,精炼法器
,,,,
ROLE_DETAIL,role_details_window,RoleDetail,,角色信息
NET_ERROR_WINDOW,net_error_window,NetErrorWindow,,网络提示面板
CONNECT_ERROR_WINDOW,connect_error_window,ConnectErrorWindow,,重连提示面板
CONNECT_ERROR_TOLOGIN_WINDOW,connect_error_tologin_window,ConnectErrorWindow,,重连提示，回到登录面板
,,,,
MALL_BUY_CONSUME_WINDOW,mall_consume_buy_window,MallBuyConsumeWindow,,集市道具购买窗口
shop_gain_pet_window,shop_gain_pet_window,shop_gain_pet_window,,集市抽卡获得宠物动画
shop_gain_item_window,shop_gain_item_window,shop_gain_item_window,,集市抽卡获得物品动画
SHOP_ALBUM_WINDOW,shop_album_window,ShopAlbumWindow,,集市可获得宠物图鉴
SHOP_WINDOW,shop_window,NewShopWindow,,集市窗口
,,,,
PET_ALBUM_WINDOW,pet_album_window,PetAlbumWindow,,符灵图鉴
PET_ALBUM_CAMP_INFO_WINDOW,pet_album_camp_info_window,PetAlbumCampInfoWindow,,符灵图鉴流派信息
PET_DETAILS_WINDOW,pet_details_window,PetDetail,,符灵资料
PET_GAIN_WINDOW,pet_gain_window,PetGainWindow,,获得符灵窗口
ACCESS_TO_RES_WINDOW,access_to_res_window,AccessToResWindow,,资源不足跳转界面
COMMON_BACK,common_back,tWindow,TopAnchor,通用后退按钮
,,,,
PET_FRAGMENT_BAG,fragment_bag,PetFragmentBag,,符灵碎片背包
EQUIP_FRAGMENT_BAG,fragment_bag,EquipFragmentBag,,装备碎片背包
TIPS_PICTURE_WINDOW,tips_picture_window,TipsPictureWindow,,带图片可选择框
VIP_RECHARGE_UP_WINDOW,vip_recharge_up_window,VipRechargeWindow,,去充值界面
ADD_VITALITY_UP_WINDOW,add_vitality_up_window,ResourceHintWindow,,资源提示购买和使用界面
VIP_RECHARGE_UP_WINDOW,vip_recharge_up_window,VipRechargeWindow,,去充值界面
ANNOUNCE_INFO_WINDOW,announce_info_window,AnnounceInfoWindow,,游戏公告
,,,,
MESSAGE_TIPS_WINDOW,tips_label_up_window,MessageTipsWindow,,提示弹出框
ADVENTURE_RESET_WINDOW,adventure_reset_window,AdventureResetWindow,,冒险重置弹窗
,,,,
MESSAGE_BOX_EX_WINDOW,message_ok_ex_window,MessageBoxExUI,,信息弹出框
TASK_REWARD_WINDOW,task_reward_window,TaskRewardWindow,,
TOTAL_TASK_WINDOW,total_task_window,TotalTaskWindow,,
TASK_REWARD_BOX,task_reward_box,TaskRewardBox,TopRightAnchor,
,,,,
MORROW_LAND_WINDOW,morrow_land_window,MorrowLandGiftWindow,,次日登陆
SEVEN_DAYS_CARNIVAL_WINDOW,seven_days_carnival_window,SevenDaysCarnivalWindow,,七日狂欢
SEVEN_DAYS_CARNIVAL_WINDOW_BACK,seven_days_carnival_window_back,tWindow,TopAnchor,七日狂欢返回按钮
,,,,
NEW_FUNC_OPEN_WINDOW,new_func_open_window,NewFuncOpenWindow,,新功能开启后去看看弹窗
,,,,
DAILY_STAGE_MAIN_WINDOW,daily_stage_main_window,DailyStageMainWindow,,日常副本主界面
DAILY_STAGE_MAIN_WINDOW_BACK,daily_stage_main_window_back,tWindow,TopAnchor,日常副本返回界面
,,,,
AWARDS_TIPS_WINDOW,awards_tips_window,AwardsTipsWindow,,奖励ICON 1-8个
MESSAGE_ONLY_TIPS_WINDOW,message_only_tips_window,MessageOnlyTipsWindow,,信息提示button框
,,,,
BATTLE_SKIP_WINDOW,battle_skip_window,tWindow,BottomLeftAnchor,跳过战斗窗口
,,,,
USER_AGREEMENT_WINDOW,user_agreement_window,UserAgreementWindow,,用户协议窗口
,,,,
CONSUMBLES_DETAILS_WINDOW,consumables_details_window,ConsumablesDetailsUIWindow,,消耗品详情窗口
,,,,
ASTROLOGY_TIP_WINDOW,astrology_tip_window,AstrologyTipWindow,,获取星芒石提示窗口
,,,,
GM_WINDOW,gm_window,GmWindow,,gm超级账号工具
BOSS_PK_TIPS_WINDOW,boss_pk_tips_window,BossPKInfosWindow,,boss是否PK
,,,,
PACKAGE_KEY_USE_WINDOW,package_key_use_window,PackageKeyUseWindow,,包裹一键使用窗口
KEY_USE_CHOOSE_REWARDS_WINDOW,key_use_choose_reward_window,PackageKeyUseChooseWindow,,包裹选择物品一键使用窗口
,,,,
MV_CONTROL_WINDOW,mv_control_window,MVControlWindow,BottomAnchor,控制开场动画显示“点击跳过”并控制跳过
