INDEX,CONDITION,DRAW_WEIGHT_CHANGE,BOX_WEIGHT_CHANGE,REFRESH_WEIGHT_CHANGE
107,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30106#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30106#weight=-999,,0
108,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30103#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30103#weight=-999,,0
109,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30113#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30113#weight=-999,,0
110,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30118#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30118#weight=-999,,0
111,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30093#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30093#weight=-999,,0
112,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30075#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30075#weight=-999,,0
113,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30098#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30098#weight=-999,,0
114,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30095#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30095#weight=-999,,0
115,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30097#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30097#weight=-999,,0
116,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30116#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30116#weight=-999,,0
117,pet_quality=5#min=3#max=999#min_draw_time=51#max_draw_time=9999999|pet_id=30102#min=1#max=999#min_draw_time=51#max_draw_time=9999999,group_id=90006#drop_id=30102#weight=-999,,0
